,id,revisions,comments,inline_comments,status,is_accepted,url,commit_message,exist_target_file,added_satd,is_added_satd,deleted_satd,is_deleted_satd,added_and_deleted_satd
2,156,2,6,4,MERGED,True,https://review.opendev.org/#/c/156,Adds swift_enable_snet config,True,{},False,"{""# TODO(sirp): snet=False for now, however, if the instance of # swift we're talking to is within our same region, we should set # snet=True"": 1}",True,{}
39,311,6,24,28,MERGED,True,https://review.opendev.org/#/c/311,Fixes LP Bug #827660 - Swift driver fail 5G upload,True,{},False,"{'# We do a HEAD on the newly-added image to determine the size # of the image. A bit slow, but better than taking the word # of the user adding the image with size attribute in the metadata': 1}",True,{}
37,346,1,1,0,MERGED,True,https://review.opendev.org/#/c/346,Fixes LP Bug #827660 - Swift driver fail 5G upload,True,{},False,"{'# We do a HEAD on the newly-added image to determine the size # of the image. A bit slow, but better than taking the word # of the user adding the image with size attribute in the metadata': 1}",True,{}
114,427,2,5,0,ABANDONED,False,https://review.opendev.org/#/c/427,separate proxy controllers from server module,True,{'# TODO: mock http connection class with more control over headers': 2},True,{'# TODO: mock http connection class with more control over headers': 2},True,{}
120,552,3,3,0,ABANDONED,False,https://review.opendev.org/#/c/552,Pull volume-cleanup-2 from bzr,True,"{""# FIXME(vish): I've kept the files during stop instance, but #              I think start will fail due to the files still"": 1, ""# FIXME(vish): I've kept the files during stop instance, but #              I think start will fail due to the files still #              existing.  I don't really know what the purpose of #              stop and start are when compared to pause and unpause"": 1, '# NOTE(justinsb): We remove the domain definition. We probably # would do better to keep it if cleanup=False (e.g. volumes?) # (e.g. #2 - not losing machines on failure)': 1, '# The /dev/disk/by-path/... node is not always present immediately # TODO(justinsb): This retry-with-delay is a pattern, move to utils?': 1, '# NOTE(vish): Copied discover from iscsi_driver since it is used #             but this should probably be refactored into a common #             area because it is used in libvirt driver.': 1, '# TODO(vish): refactor this into a more general ""reserve""': 1, '# TODO(vish): refactor this into a more general ""unreserve""': 1}",True,"{'# TODO(yamahata): # should move check_attach to volume manager?': 1, '# NOTE(justinsb): We remove the domain definition. We probably # would do better to keep it if cleanup=False (e.g. volumes?) # (e.g. #2 - not losing machines on failure)': 1, '# The /dev/disk/by-path/... node is not always present immediately # TODO(justinsb): This retry-with-delay is a pattern, move to utils?': 1}",True,{}
119,573,1,1,0,ABANDONED,False,https://review.opendev.org/#/c/573,splitting up volume and compute coupling,True,"{'# FIXME(vish): why do we need dev_path?': 1, '# TODO(vish): refactor this into a more general ""unreserve""': 1}",True,{'# TODO(yamahata): # should move check_attach to volume manager?': 1},True,{}
125,579,1,1,0,ABANDONED,False,https://review.opendev.org/#/c/579,more decoupling,True,{},False,{'# FIXME(vish): why do we need dev_path?': 1},True,{}
127,581,1,1,0,ABANDONED,False,https://review.opendev.org/#/c/581,finish rewriting initialize and terminate,True,{},False,{'# TODO(GRUE): return the dict of love. # return mount_device': 1},True,{}
131,584,1,1,0,ABANDONED,False,https://review.opendev.org/#/c/584,move login code to libvirt volume driver,True,{},False,"{'# The /dev/disk/by-path/... node is not always present immediately # TODO(justinsb): This retry-with-delay is a pattern, move to utils?': 1}",True,{}
140,592,1,1,0,ABANDONED,False,https://review.opendev.org/#/c/592,fixing block device info in terminate,True,{'# NOTE(justinsb): We remove the domain definition. We probably # would do better to keep it if cleanup=False (e.g. volumes?) # (e.g. #2 - not losing machines on failure)': 1},True,{'# NOTE(justinsb): We remove the domain definition. We probably # would do better to keep it if cleanup=False (e.g. volumes?) # (e.g. #2 - not losing machines on failure)': 1},True,{}
160,607,1,1,0,ABANDONED,False,https://review.opendev.org/#/c/607,pull in changes from manager,True,{},False,{'# FIXME(vish): we need a way to find the root device name on rebuild': 1},True,{}
169,618,6,20,7,MERGED,True,https://review.opendev.org/#/c/618,* Rework osapi to use network API not FK backref * Fixes lp854585,True,{},False,{'# TODO(sirp): This should eventually be the URI for the Glance image': 1},True,{}
214,620,9,16,10,MERGED,True,https://review.opendev.org/#/c/620,"Remove AoE, Clean up volume code",True,"{""# FIXME(vish): I've kept the files during stop instance, but #              I think start will fail due to the files still"": 1, ""# FIXME(vish): I've kept the files during stop instance, but #              I think start will fail due to the files still #              existing.  I don't really know what the purpose of #              stop and start are when compared to pause and unpause"": 1, '# NOTE(justinsb): We remove the domain definition. We probably # would do better to keep it if cleanup=False (e.g. volumes?) # (e.g. #2 - not losing machines on failure)': 1, '# The /dev/disk/by-path/... node is not always present immediately # TODO(justinsb): This retry-with-delay is a pattern, move to utils?': 1, '# NOTE(vish): Copied discover from iscsi_driver since it is used #             but this should probably be refactored into a common #             area because it is used in libvirt driver.': 1, '# TODO(vish): refactor this into a more general ""reserve""': 1, '# TODO(vish): refactor this into a more general ""unreserve""': 1}",True,"{'# TODO(yamahata): # should move check_attach to volume manager?': 1, '# NOTE(justinsb): We remove the domain definition. We probably # would do better to keep it if cleanup=False (e.g. volumes?) # (e.g. #2 - not losing machines on failure)': 1, '# The /dev/disk/by-path/... node is not always present immediately # TODO(justinsb): This retry-with-delay is a pattern, move to utils?': 1}",True,{}
